12172,192.168.1.1,E1500
12196,192.168.1.1,wrt54g
12206,192.168.0.1,EPC3928
12222,192.168.1.1,E1000
12225,192.168.1.1,WRT54GS
12254,192.168.1.1,WRT610N
12255,192.168.1.1,WRT160Nv2
12267,192.168.1.66,VEN401
12277,192.168.1.66,VEN401
12338,192.168.1.1,WRT320N
12343,192.168.1.1,E900
12380,192.168.69.1,WTR54GS
12405,192.168.1.1,WRT610N
12453,192.168.1.1,E4200
219039,192.168.1.1,E2500
219040,192.168.1.1,WRT54G
219042,192.168.1.1,WRT54GS
219044,192.168.1.1,WRT310N
219056,192.168.1.1,E2500
219062,192.168.1.68,WAP300N
219072,192.168.178.1,EPC3928AD
219075,192.168.1.1,EA4500
219084,192.168.1.1,E800
219091,192.168.1.1,WRT300N
219096,192.168.0.1,DPC3825
219097,143.231.154.2,BEFSR81
219099,192.168.1.78,VEN501
219128,192.168.1.74,VEN501
219128,192.168.1.254,VEN501
219156,192.168.1.1,E2500
219171,10.0.0.1,DPC3939
219171,10.0.0.254,DPC3939
219195,192.168.1.1,E2000
219198,192.168.1.1,E1200
219208,192.168.1.64,VEN501
219212,192.168.1.1,WRT54G
219227,192.168.1.1,WRT54G
219227,192.168.1.104,RE1000
219232,192.168.1.1,E2500
219238,192.168.1.245,WAP54G
219280,192.168.0.1,E2500
219298,10.0.0.1,DPC3939
219298,10.0.0.254,DPC3939
219363,192.168.1.1,BEFSR41
219364,192.168.1.66,WAP54G
219389,192.168.0.1,EPC3940L
219397,192.168.1.64,VEN501
219397,192.168.1.254,VEN501
219431,192.168.1.65,VEN501
219431,192.168.1.254,VEN501
219443,192.168.1.14,NAS200
219458,10.3.55.98,EA4500
219465,192.168.1.1,wrt54g
219469,192.168.1.5,WRT160Nv2
219473,192.168.1.1,WRT54G2
219487,192.168.1.1,E1200
219490,192.168.1.1,E1000
391074,192.168.1.1,WRT54GS
391083,192.168.1.1,WRT54G2
391111,192.168.1.1,WRT310N
391113,192.168.1.1,RV220W
391115,192.168.1.1,WRT54G
391123,10.1.10.254,DPC3939B
391126,192.168.1.1,wrt54g
391128,192.168.1.1,WRT160N
391138,192.168.1.2,RV082
391141,192.168.1.64,VEN501
391141,192.168.1.254,VEN501
391157,192.168.1.2,BEFSR41
391159,192.168.1.1,WRT54G
391163,192.168.0.200,WRT1900AC
391170,192.168.1.1,E1000
391177,192.168.1.1,E2500
391180,192.168.0.1,DPC3829
391187,192.168.1.1,E1200
391192,192.168.1.1,E900
391206,192.168.1.1,E3000
391219,192.168.0.1,E2500
391225,192.168.1.64,VEN501
391242,192.168.1.67,VEN401
391246,192.168.1.1,WRT54G2
391264,192.168.1.1,E1200
